Hidden Units,Optimizer,Learning Rate,Batch Size,Accuracy,Recall,Precision,ROC,F1 Score
"(128, 64, 32, 16)",sgd,0.001,8,84.4,36.7,40.9,0.643,38.7
"(128, 64, 32, 16)",sgd,0.001,16,83.8,40.8,40.0,0.657,40.4
"(128, 64, 32, 16)",sgd,0.001,32,84.1,44.9,41.5,0.675,43.1
"(128, 64, 32, 16)",sgd,0.0001,8,80.8,55.1,36.0,0.7,43.5
"(128, 64, 32, 16)",sgd,0.0001,16,76.7,59.2,30.9,0.693,40.6
"(128, 64, 32, 16)",sgd,0.0001,32,83.3,34.7,37.0,0.628,35.8
"(128, 64, 32, 16)",adam,0.001,8,83.6,42.9,39.6,0.664,41.2
"(128, 64, 32, 16)",adam,0.001,16,84.1,36.7,40.0,0.641,38.3
"(128, 64, 32, 16)",adam,0.001,32,83.6,40.8,39.2,0.655,40.0
"(128, 64, 32, 16)",adam,0.0001,8,85.5,40.8,45.5,0.666,43.0
"(128, 64, 32, 16)",adam,0.0001,16,82.2,26.5,31.0,0.587,28.6
"(128, 64, 32, 16)",adam,0.0001,32,83.0,34.7,36.2,0.626,35.4
"(64, 32, 16, 8)",sgd,0.001,8,81.1,40.8,33.3,0.641,36.7
"(64, 32, 16, 8)",sgd,0.001,16,81.9,38.8,34.5,0.637,36.5
"(64, 32, 16, 8)",sgd,0.001,32,78.1,34.7,26.2,0.598,29.8
"(64, 32, 16, 8)",sgd,0.0001,8,81.4,46.9,35.4,0.668,40.4
"(64, 32, 16, 8)",sgd,0.0001,16,78.6,53.1,32.1,0.678,40.0
"(64, 32, 16, 8)",sgd,0.0001,32,80.8,42.9,33.3,0.648,37.5
"(64, 32, 16, 8)",adam,0.001,8,84.1,34.7,39.5,0.632,37.0
"(64, 32, 16, 8)",adam,0.001,16,83.6,28.6,35.9,0.603,31.8
"(64, 32, 16, 8)",adam,0.001,32,81.9,28.6,31.1,0.594,29.8
"(64, 32, 16, 8)",adam,0.0001,8,84.4,40.8,41.7,0.66,41.2
"(64, 32, 16, 8)",adam,0.0001,16,83.8,32.7,38.1,0.622,35.2
"(64, 32, 16, 8)",adam,0.0001,32,84.4,30.6,39.5,0.617,34.5
"(32, 16, 8, 4)",sgd,0.001,8,84.4,36.7,40.9,0.643,38.7
"(32, 16, 8, 4)",sgd,0.001,16,80.0,36.7,30.0,0.617,33.0
"(32, 16, 8, 4)",sgd,0.001,32,80.8,42.9,33.3,0.648,37.5
"(32, 16, 8, 4)",sgd,0.0001,8,77.0,61.2,31.6,0.703,41.7
"(32, 16, 8, 4)",sgd,0.0001,16,77.5,40.8,27.4,0.62,32.8
"(32, 16, 8, 4)",sgd,0.0001,32,84.7,0.0,0.0,0.489,0.0
"(32, 16, 8, 4)",adam,0.001,8,82.7,40.8,37.0,0.65,38.8
"(32, 16, 8, 4)",adam,0.001,16,83.6,40.8,39.2,0.655,40.0
"(32, 16, 8, 4)",adam,0.001,32,83.6,38.8,38.8,0.646,38.8
"(32, 16, 8, 4)",adam,0.0001,8,80.8,40.8,32.8,0.639,36.4
"(32, 16, 8, 4)",adam,0.0001,16,81.1,32.7,30.8,0.606,31.7
"(32, 16, 8, 4)",adam,0.0001,32,82.7,46.9,38.3,0.676,42.2
"(16, 8, 4, 2)",sgd,0.001,8,86.3,55.1,49.1,0.731,51.9
"(16, 8, 4, 2)",sgd,0.001,16,81.6,55.1,37.5,0.704,44.6
"(16, 8, 4, 2)",sgd,0.001,32,75.9,61.2,30.3,0.697,40.5
"(16, 8, 4, 2)",sgd,0.0001,8,74.2,55.1,27.3,0.662,36.5
"(16, 8, 4, 2)",sgd,0.0001,16,85.2,0.0,0.0,0.492,0.0
"(16, 8, 4, 2)",sgd,0.0001,32,85.5,0.0,0.0,0.494,0.0
"(16, 8, 4, 2)",adam,0.001,8,81.1,30.6,30.0,0.598,30.3
"(16, 8, 4, 2)",adam,0.001,16,83.3,38.8,38.0,0.645,38.4
"(16, 8, 4, 2)",adam,0.001,32,83.0,46.9,39.0,0.678,42.6
"(16, 8, 4, 2)",adam,0.0001,8,82.2,55.1,38.6,0.707,45.4
"(16, 8, 4, 2)",adam,0.0001,16,80.8,55.1,36.0,0.7,43.5
"(16, 8, 4, 2)",adam,0.0001,32,81.4,53.1,36.6,0.694,43.3
"(128, 64, 32, 16, 8)",sgd,0.001,8,81.6,34.7,32.7,0.618,33.7
"(128, 64, 32, 16, 8)",sgd,0.001,16,83.3,34.7,37.0,0.628,35.8
"(128, 64, 32, 16, 8)",sgd,0.001,32,82.5,38.8,35.8,0.64,37.3
"(128, 64, 32, 16, 8)",sgd,0.0001,8,81.4,57.1,37.3,0.711,45.2
"(128, 64, 32, 16, 8)",sgd,0.0001,16,80.8,59.2,36.7,0.717,45.3
"(128, 64, 32, 16, 8)",sgd,0.0001,32,86.6,0.0,0.0,0.5,0.0
